Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
0.672,0.118,244.49,2.8,0.0,0.0,1.0
0.292,0.232,242.97,1.4,0.0,2.0,1.0
3.744,0.0,230.61,16.2,36.0,0.0,0.0
1.702,0.21,239.69,7.0,0.0,0.0,18.0
0.504,0.0,243.94,2.0,0.0,2.0,1.0
1.29,0.074,242.1,5.2,0.0,0.0,19.0
1.322,0.046,241.73,5.4,0.0,4.0,0.0
0.218,0.102,241.8,1.0,0.0,1.0,0.0
0.228,0.0,239.79,1.0,0.0,0.0,1.0
0.31,0.108,237.06,1.4,0.0,0.0,0.0
1.432,0.236,243.91,5.8,0.0,0.0,19.0
0.244,0.0,245.45,1.0,0.0,0.0,0.0
2.112,0.302,244.48,8.6,0.0,2.0,29.0
0.79,0.106,241.92,3.2,0.0,0.0,11.0
0.504,0.24,243.54,2.2,0.0,2.0,0.0
0.35,0.204,242.46,1.6,0.0,0.0,1.0
1.198,0.0,238.73,5.0,0.0,0.0,18.0
2.044,0.312,238.89,8.8,0.0,1.0,0.0
0.358,0.338,241.88,2.0,0.0,1.0,0.0
1.586,0.37,238.68,6.8,0.0,1.0,18.0
1.628,0.092,239.28,6.8,0.0,0.0,19.0
1.274,0.062,238.5,5.2,0.0,0.0,17.0
0.214,0.082,242.63,0.8,0.0,0.0,1.0
0.466,0.066,241.73,2.2,0.0,0.0,0.0
0.34,0.226,239.3,1.6,0.0,1.0,1.0
1.552,0.226,237.88,6.6,0.0,0.0,18.0
0.154,0.096,242.54,1.0,0.0,0.0,1.0
2.33,0.126,235.84,9.8,0.0,3.0,18.0
0.576,0.316,241.21,2.8,0.0,2.0,3.0
1.362,0.084,242.65,5.6,0.0,0.0,19.0
4.564,0.124,233.09,19.6,0.0,2.0,0.0
0.208,0.056,244.93,0.8,0.0,0.0,0.0
3.658,0.134,237.5,15.4,0.0,38.0,17.0
0.42,0.23,243.15,2.0,0.0,0.0,1.0
0.686,0.2,238.35,3.0,0.0,0.0,1.0
0.478,0.0,245.08,2.0,0.0,0.0,0.0
0.746,0.254,241.03,3.6,0.0,0.0,9.0
3.876,0.234,240.13,16.0,38.0,1.0,1.0
0.388,0.1,243.6,1.8,0.0,0.0,1.0
1.804,0.338,246.68,7.4,1.0,0.0,19.0
1.198,0.106,234.03,5.0,0.0,0.0,17.0
0.122,0.0,240.49,0.6,0.0,0.0,0.0
0.154,0.0,239.4,0.6,0.0,0.0,1.0
1.402,0.218,238.61,5.8,0.0,2.0,19.0
2.282,0.182,241.84,9.8,0.0,1.0,19.0
0.264,0.272,240.29,1.4,0.0,2.0,0.0
0.932,0.304,238.43,4.0,0.0,1.0,12.0
0.306,0.098,247.47,1.2,0.0,0.0,0.0
1.53,0.31,239.37,6.4,0.0,1.0,17.0
1.442,0.092,237.81,6.0,0.0,0.0,18.0
1.324,0.0,241.86,5.4,1.0,0.0,18.0
1.582,0.084,240.55,6.6,0.0,2.0,18.0
0.218,0.0,239.38,1.0,0.0,0.0,0.0
0.586,0.168,243.23,2.6,0.0,3.0,1.0
0.416,0.214,249.83,1.8,0.0,0.0,0.0
2.17,0.124,241.42,9.0,0.0,1.0,19.0
1.576,0.3,238.16,6.6,0.0,1.0,18.0
0.38,0.222,238.88,1.8,0.0,1.0,0.0
0.216,0.0,240.17,0.8,0.0,0.0,0.0
0.48,0.28,240.28,2.2,0.0,1.0,1.0
0.25,0.186,240.66,1.2,0.0,1.0,0.0
1.45,0.224,238.23,6.0,0.0,1.0,18.0
0.466,0.16,242.53,2.0,0.0,0.0,0.0
1.366,0.096,240.52,5.6,0.0,0.0,18.0
0.252,0.076,240.04,1.2,0.0,1.0,0.0
0.21,0.048,245.03,0.8,0.0,0.0,0.0
1.598,0.266,238.69,7.4,0.0,12.0,1.0
0.444,0.1,242.18,1.8,0.0,0.0,1.0
0.308,0.226,242.39,1.6,0.0,0.0,0.0
1.182,0.35,243.83,5.0,1.0,0.0,1.0
1.284,0.09,241.79,5.2,0.0,0.0,19.0
0.11,0.0,242.44,0.4,0.0,0.0,0.0
0.7,0.132,244.82,2.8,0.0,0.0,1.0
2.48,0.108,239.13,10.2,0.0,2.0,19.0
1.396,0.068,240.4,5.8,0.0,0.0,0.0
0.198,0.0,243.51,0.8,0.0,0.0,0.0
0.784,0.12,241.1,3.2,0.0,0.0,1.0
0.312,0.224,242.58,1.6,0.0,0.0,1.0
1.25,0.0,242.45,5.2,1.0,0.0,0.0
1.628,0.104,231.33,7.0,0.0,1.0,16.0
0.156,0.0,242.17,0.6,0.0,0.0,1.0
1.266,0.0,232.07,5.4,0.0,0.0,17.0
0.558,0.0,241.43,2.2,0.0,0.0,0.0
0.694,0.0,239.61,2.8,0.0,0.0,1.0
0.886,0.0,241.73,3.6,0.0,0.0,1.0
1.378,0.074,239.91,5.6,0.0,0.0,18.0
0.456,0.29,243.15,2.2,0.0,0.0,0.0
1.432,0.12,242.89,5.8,0.0,0.0,18.0
0.294,0.064,242.54,1.2,0.0,0.0,1.0
0.232,0.0,243.07,1.0,0.0,0.0,1.0
0.212,0.0,243.22,1.0,0.0,0.0,1.0
0.276,0.078,240.11,1.2,0.0,0.0,0.0
0.204,0.148,243.38,1.0,0.0,0.0,0.0
1.514,0.134,251.26,6.0,0.0,0.0,20.0
0.464,0.0,239.88,2.0,1.0,0.0,0.0
2.038,0.39,237.36,8.6,0.0,1.0,18.0
0.114,0.0,234.47,0.6,0.0,0.0,0.0
0.444,0.24,245.08,2.0,0.0,0.0,1.0
1.332,0.13,245.87,5.4,1.0,0.0,1.0
0.818,0.224,243.51,3.4,0.0,0.0,0.0
1.95,0.194,238.74,8.2,1.0,1.0,18.0
1.37,0.058,242.46,5.6,0.0,0.0,18.0
2.482,0.0,239.39,10.2,1.0,37.0,0.0
0.32,0.218,241.19,1.6,0.0,0.0,0.0
1.028,0.14,239.73,4.2,0.0,0.0,0.0
1.298,0.0,240.44,5.4,0.0,0.0,18.0
0.742,0.12,243.35,3.2,0.0,0.0,0.0
1.304,0.0,239.34,5.4,1.0,0.0,17.0
0.286,0.064,241.15,1.2,0.0,1.0,0.0
0.286,0.068,232.06,1.2,0.0,1.0,0.0
1.674,0.266,238.11,7.0,0.0,1.0,18.0
1.354,0.064,240.46,5.6,0.0,0.0,18.0
0.346,0.07,242.3,1.4,0.0,0.0,1.0
0.394,0.222,241.99,1.8,0.0,0.0,1.0
5.47,0.3,240.1,22.8,0.0,39.0,19.0
1.342,0.0,242.16,5.4,0.0,0.0,18.0
0.216,0.106,235.83,1.0,0.0,0.0,0.0
1.4,0.222,238.54,5.8,0.0,1.0,18.0
0.326,0.136,245.37,1.4,0.0,0.0,0.0
2.688,0.352,239.23,11.2,0.0,37.0,0.0
0.174,0.15,240.6,0.8,0.0,0.0,1.0
0.704,0.11,241.87,3.0,0.0,0.0,1.0
1.434,0.194,239.88,6.0,0.0,2.0,18.0
1.866,0.258,239.26,7.8,0.0,0.0,18.0
3.842,0.352,239.45,16.4,0.0,0.0,18.0
2.542,0.148,234.85,10.8,0.0,0.0,28.0
0.364,0.21,239.86,1.6,0.0,1.0,0.0
0.326,0.11,242.84,1.4,0.0,0.0,1.0
0.402,0.136,240.84,1.8,0.0,0.0,1.0
0.526,0.19,239.89,2.2,0.0,0.0,0.0
0.322,0.046,241.52,1.6,0.0,0.0,0.0
0.176,0.152,240.73,0.8,0.0,0.0,1.0
1.244,0.09,235.35,5.2,0.0,0.0,17.0
0.598,0.132,243.76,2.8,0.0,0.0,1.0
0.318,0.0,240.33,1.2,0.0,0.0,1.0
1.184,0.44,239.66,5.2,0.0,0.0,1.0
0.206,0.124,236.12,1.0,0.0,0.0,0.0
1.384,0.076,241.49,5.6,0.0,0.0,18.0
0.124,0.0,235.53,0.6,0.0,0.0,0.0
0.626,0.204,239.28,3.0,0.0,1.0,10.0
2.028,0.0,238.21,9.2,0.0,27.0,0.0
0.604,0.364,244.67,3.0,0.0,1.0,0.0
2.66,0.114,234.01,11.2,0.0,0.0,16.0
1.744,0.24,242.51,7.2,1.0,0.0,18.0
0.714,0.41,242.86,3.6,0.0,1.0,5.0
3.806,0.058,236.44,16.0,0.0,38.0,18.0
3.954,0.288,242.58,16.8,0.0,29.0,18.0
3.608,0.248,235.1,15.2,0.0,0.0,1.0
0.254,0.1,241.26,1.0,0.0,0.0,1.0
0.8,0.09,243.32,3.4,0.0,0.0,0.0
1.458,0.09,239.02,6.0,0.0,1.0,18.0
0.26,0.124,242.41,1.2,0.0,0.0,1.0
3.01,0.096,227.65,13.2,0.0,29.0,16.0
0.92,0.102,239.87,4.6,0.0,0.0,1.0
4.992,0.19,237.75,21.0,0.0,74.0,1.0
0.388,0.216,237.71,1.8,0.0,1.0,0.0
4.186,0.204,238.95,17.4,39.0,0.0,0.0
4.098,0.096,240.69,17.2,39.0,0.0,18.0
2.016,0.264,244.25,8.2,0.0,0.0,30.0
0.334,0.264,242.12,1.6,0.0,0.0,1.0
1.404,0.064,232.91,6.0,0.0,0.0,17.0
0.224,0.0,244.54,0.8,0.0,0.0,1.0
1.198,0.356,239.59,5.2,0.0,2.0,8.0
0.3,0.088,241.84,1.2,0.0,0.0,1.0
1.476,0.168,241.2,6.0,0.0,1.0,19.0
0.156,0.12,239.81,0.8,0.0,0.0,1.0
1.348,0.22,239.77,5.6,0.0,0.0,18.0
1.03,0.216,241.34,4.4,0.0,0.0,12.0
0.346,0.0,240.28,1.8,0.0,0.0,0.0
1.532,0.0,240.74,6.2,1.0,1.0,18.0
0.33,0.084,243.13,1.4,0.0,0.0,0.0
0.422,0.142,247.61,1.8,0.0,0.0,1.0
0.23,0.0,244.84,0.8,0.0,0.0,1.0
0.41,0.208,245.89,1.8,0.0,0.0,0.0
1.254,0.0,238.83,5.2,0.0,0.0,18.0
1.474,0.072,244.03,6.0,0.0,1.0,19.0
1.342,0.354,241.42,5.8,0.0,0.0,1.0
0.946,0.266,240.83,4.0,0.0,0.0,13.0
0.432,0.362,243.61,2.2,0.0,1.0,0.0
0.218,0.064,239.71,1.0,0.0,0.0,1.0
0.312,0.196,239.82,1.4,0.0,2.0,0.0
0.296,0.08,243.15,1.2,0.0,0.0,0.0
0.304,0.046,244.67,1.4,0.0,0.0,0.0
2.428,0.17,236.62,10.2,1.0,2.0,18.0
3.53,0.046,236.06,14.8,37.0,0.0,17.0
0.112,0.0,237.79,0.6,0.0,0.0,0.0
0.334,0.108,244.74,1.4,0.0,0.0,0.0
0.396,0.0,242.39,2.0,0.0,0.0,0.0
0.378,0.212,241.35,1.8,0.0,2.0,0.0
1.924,0.258,238.93,8.0,0.0,1.0,18.0
3.436,0.204,239.19,14.4,0.0,38.0,0.0
0.442,0.192,241.24,2.2,0.0,2.0,1.0
0.8,0.184,243.73,3.4,0.0,2.0,0.0
1.35,0.11,238.69,5.6,0.0,0.0,18.0
1.412,0.19,240.27,5.8,0.0,2.0,19.0
0.316,0.0,243.39,1.4,0.0,0.0,1.0
1.082,0.352,241.13,4.6,0.0,1.0,0.0
1.386,0.23,239.42,5.8,0.0,0.0,18.0
0.676,0.092,242.38,2.8,0.0,0.0,1.0
1.994,0.0,245.0,8.6,2.0,27.0,0.0
1.374,0.0,238.0,5.8,0.0,0.0,17.0
0.234,0.096,239.75,1.0,0.0,2.0,0.0
0.244,0.142,242.11,1.2,0.0,0.0,1.0
0.3,0.074,245.14,1.2,0.0,0.0,0.0
3.094,0.436,241.52,12.8,0.0,1.0,29.0
0.604,0.06,238.36,2.6,0.0,0.0,0.0
0.256,0.0,245.28,1.0,0.0,0.0,0.0
1.544,0.144,240.44,6.4,0.0,1.0,1.0
1.288,0.0,242.52,5.2,0.0,0.0,18.0
0.64,0.0,238.36,3.2,0.0,0.0,1.0
0.344,0.072,243.64,1.4,0.0,0.0,0.0
0.764,0.366,243.14,3.4,0.0,1.0,0.0
0.16,0.124,241.47,0.8,0.0,0.0,1.0
0.886,0.242,242.25,3.8,0.0,0.0,10.0
1.354,0.0,241.86,5.6,0.0,0.0,18.0
0.26,0.0,243.25,1.0,0.0,0.0,1.0
2.5,0.11,232.92,10.6,0.0,0.0,17.0
0.424,0.064,241.23,1.8,0.0,1.0,1.0
0.174,0.098,237.75,0.8,0.0,0.0,0.0
1.454,0.114,242.13,6.0,1.0,0.0,18.0
0.386,0.11,243.97,1.6,0.0,0.0,1.0
1.398,0.074,240.25,5.8,0.0,0.0,19.0
0.35,0.116,243.22,1.4,0.0,0.0,0.0
2.494,0.0,233.05,10.6,0.0,0.0,0.0
2.318,0.194,244.97,9.4,0.0,5.0,18.0
0.562,0.256,242.68,2.6,0.0,0.0,1.0
1.33,0.08,238.64,5.6,2.0,0.0,18.0
1.356,0.068,237.46,5.6,0.0,0.0,18.0
0.25,0.13,244.27,1.2,0.0,0.0,1.0
2.916,0.51,238.85,12.4,0.0,0.0,18.0
0.348,0.116,242.73,1.4,0.0,0.0,1.0
6.07,0.08,239.42,25.2,0.0,0.0,18.0
1.058,0.418,243.69,4.8,0.0,1.0,0.0
0.458,0.112,241.27,2.0,0.0,0.0,1.0
0.79,0.084,236.57,3.4,0.0,0.0,0.0
0.214,0.0,239.94,0.8,0.0,0.0,0.0
1.536,0.05,241.68,6.2,0.0,0.0,18.0
1.426,0.058,243.53,5.8,0.0,0.0,19.0
0.21,0.0,242.4,0.8,0.0,0.0,1.0
1.41,0.316,235.67,6.0,0.0,1.0,17.0
1.286,0.0,240.5,5.2,0.0,0.0,18.0
0.19,0.0,240.41,0.8,0.0,0.0,0.0
0.354,0.13,244.15,1.4,0.0,0.0,0.0
0.248,0.26,237.33,1.4,0.0,1.0,1.0
0.292,0.07,241.37,1.2,0.0,0.0,1.0
1.628,0.242,230.21,7.2,0.0,1.0,16.0
0.804,0.192,241.29,3.4,0.0,2.0,0.0
0.42,0.198,241.93,1.8,0.0,0.0,0.0
6.07,0.22,239.87,25.2,39.0,39.0,18.0
0.332,0.078,242.98,1.4,0.0,0.0,1.0
2.206,0.05,240.46,9.2,0.0,0.0,0.0
1.726,0.218,239.88,7.2,0.0,0.0,0.0
1.854,0.19,240.51,8.0,1.0,0.0,18.0
0.232,0.092,241.3,1.0,0.0,0.0,0.0
0.226,0.0,244.69,1.0,0.0,0.0,0.0
1.962,0.088,242.8,8.0,0.0,1.0,18.0
4.116,0.062,238.55,17.2,0.0,38.0,18.0
0.362,0.122,246.1,1.6,0.0,0.0,0.0
0.356,0.072,246.01,1.6,0.0,0.0,0.0
1.448,0.06,241.75,6.0,0.0,0.0,18.0
0.238,0.126,239.26,1.0,0.0,0.0,1.0
0.22,0.0,239.49,1.0,0.0,0.0,0.0
2.712,0.0,236.61,11.4,0.0,1.0,17.0
3.19,0.492,236.74,13.6,0.0,1.0,17.0
0.264,0.0,241.6,1.0,0.0,0.0,0.0
1.622,0.164,244.43,6.6,0.0,0.0,19.0
0.26,0.0,243.88,1.2,0.0,0.0,0.0
0.95,0.32,239.15,4.2,0.0,0.0,13.0
2.26,0.446,237.92,10.2,9.0,0.0,0.0
0.884,0.194,240.74,4.0,0.0,3.0,0.0
0.484,0.052,246.8,2.0,0.0,0.0,0.0
2.17,0.104,236.9,9.0,0.0,0.0,0.0
1.834,0.072,240.96,7.6,0.0,1.0,19.0
2.402,0.046,240.3,10.0,0.0,0.0,0.0
1.41,0.05,242.13,5.8,0.0,0.0,18.0
0.762,0.0,244.71,3.0,0.0,0.0,0.0
0.472,0.21,237.09,2.2,0.0,1.0,0.0
0.57,0.084,238.95,2.4,0.0,2.0,0.0
0.422,0.19,241.67,1.8,0.0,0.0,1.0
0.2,0.138,242.12,1.0,0.0,0.0,0.0
0.17,0.0,243.8,0.8,0.0,0.0,1.0
0.272,0.0,242.34,1.2,0.0,0.0,1.0
2.614,0.106,240.58,10.8,39.0,2.0,0.0
1.766,0.236,239.04,7.4,0.0,1.0,18.0
0.326,0.098,246.48,1.4,0.0,0.0,1.0
1.52,0.218,240.98,6.4,0.0,0.0,18.0
0.282,0.126,242.45,1.2,0.0,0.0,1.0
1.958,0.0,239.91,8.0,0.0,1.0,19.0
1.358,0.062,237.66,5.6,0.0,0.0,18.0
0.424,0.284,240.45,2.2,0.0,1.0,0.0
3.75,0.0,234.89,16.2,32.0,2.0,17.0
0.356,0.174,243.53,1.6,0.0,0.0,1.0
1.524,0.062,240.05,6.2,0.0,0.0,18.0
2.404,0.0,240.2,10.0,0.0,0.0,18.0
0.242,0.134,241.47,1.0,0.0,0.0,0.0
2.222,0.074,241.27,9.2,1.0,2.0,0.0
0.452,0.18,236.37,2.0,0.0,0.0,0.0
0.462,0.22,240.89,2.0,0.0,2.0,1.0
0.278,0.21,236.38,1.4,0.0,1.0,0.0
2.12,0.378,238.99,9.0,0.0,1.0,18.0
0.202,0.0,239.74,1.0,0.0,0.0,1.0
0.314,0.24,238.85,1.6,0.0,1.0,1.0
1.734,0.394,236.28,7.4,0.0,1.0,0.0
0.25,0.194,239.87,1.2,0.0,1.0,0.0
0.274,0.08,241.76,1.2,0.0,0.0,0.0
0.848,0.064,236.42,3.8,0.0,0.0,0.0
0.434,0.162,247.28,1.8,0.0,0.0,0.0
0.156,0.0,242.93,0.6,0.0,0.0,1.0
1.708,0.25,239.88,7.2,0.0,0.0,17.0
1.446,0.16,240.5,6.0,0.0,1.0,18.0
0.324,0.11,243.79,1.4,0.0,0.0,0.0
0.202,0.048,241.58,1.0,0.0,0.0,1.0
0.43,0.262,242.07,2.0,0.0,1.0,1.0
0.346,0.112,241.26,1.4,0.0,0.0,0.0
1.098,0.074,240.31,4.8,0.0,0.0,1.0
0.632,0.266,240.23,2.8,0.0,1.0,1.0
1.462,0.0,241.74,6.0,0.0,1.0,19.0
0.228,0.0,247.5,1.0,0.0,0.0,0.0
1.686,0.118,241.22,7.4,0.0,0.0,0.0
1.504,0.506,238.76,6.6,0.0,1.0,17.0
0.222,0.0,236.35,1.0,0.0,0.0,0.0
2.704,0.396,238.06,12.0,0.0,0.0,0.0
0.452,0.256,246.46,2.0,0.0,2.0,1.0
0.188,0.0,243.96,0.8,0.0,0.0,1.0
0.332,0.086,239.76,1.4,0.0,0.0,0.0
0.342,0.108,243.91,1.6,0.0,0.0,1.0
1.394,0.1,239.28,5.8,0.0,0.0,18.0
1.51,0.334,241.92,6.4,0.0,1.0,19.0
2.31,0.0,240.97,9.6,1.0,2.0,17.0
1.896,0.21,236.66,8.0,0.0,2.0,17.0
1.986,0.442,237.72,8.4,1.0,1.0,18.0
0.316,0.184,240.73,1.6,0.0,0.0,1.0
1.372,0.082,241.56,7.0,0.0,0.0,0.0
1.414,0.064,244.48,5.8,0.0,0.0,19.0
1.286,0.046,233.43,5.4,0.0,0.0,16.0
0.744,0.064,239.48,3.2,0.0,0.0,0.0
0.316,0.078,244.57,1.4,0.0,0.0,0.0
0.62,0.0,242.87,2.6,0.0,0.0,0.0
0.176,0.152,240.72,0.8,0.0,0.0,0.0
0.526,0.056,242.11,2.2,0.0,0.0,0.0
1.47,0.0,241.24,6.2,0.0,0.0,20.0
0.534,0.0,239.64,2.4,0.0,0.0,0.0
1.846,0.0,237.81,7.8,0.0,0.0,17.0
0.336,0.148,239.73,1.4,0.0,0.0,0.0
0.37,0.176,243.22,1.8,0.0,1.0,0.0
0.896,0.246,242.33,3.8,0.0,0.0,0.0
0.138,0.0,242.18,0.6,0.0,0.0,0.0
1.788,0.202,235.82,7.6,0.0,2.0,17.0
1.416,0.116,242.73,5.8,0.0,0.0,0.0
1.386,0.194,238.76,5.8,0.0,1.0,18.0
0.18,0.0,240.19,0.8,0.0,0.0,0.0
1.358,0.06,236.22,5.6,0.0,0.0,17.0
1.706,0.078,243.95,7.0,0.0,0.0,19.0
1.328,0.0,241.58,5.4,0.0,0.0,18.0
0.238,0.136,241.47,1.0,0.0,0.0,1.0
0.672,0.0,237.35,2.8,0.0,0.0,1.0
0.2,0.05,241.16,0.8,0.0,0.0,0.0
1.608,0.29,247.85,6.6,0.0,2.0,19.0
0.38,0.064,237.79,1.8,0.0,0.0,0.0
0.59,0.094,241.67,2.4,0.0,0.0,1.0
1.844,0.108,246.32,7.4,0.0,0.0,19.0
0.358,0.08,244.13,1.4,0.0,0.0,1.0
0.274,0.068,238.08,1.2,0.0,0.0,0.0
1.368,0.066,240.8,5.6,0.0,0.0,18.0
0.752,0.126,248.12,3.0,0.0,0.0,1.0
2.136,0.184,236.64,9.4,0.0,0.0,17.0
4.77,0.046,237.52,20.0,37.0,0.0,18.0
0.444,0.226,239.04,2.0,0.0,0.0,1.0
0.394,0.0,243.15,1.8,0.0,0.0,0.0
0.374,0.088,241.84,1.6,0.0,0.0,0.0
0.524,0.422,243.76,2.6,0.0,0.0,1.0
0.35,0.114,242.08,1.6,0.0,0.0,1.0
2.576,0.178,233.83,11.0,36.0,0.0,0.0
3.888,0.198,240.05,16.4,0.0,32.0,18.0
0.794,0.058,239.97,3.2,0.0,1.0,1.0
0.278,0.188,242.72,1.4,0.0,1.0,0.0
3.732,0.16,239.3,15.6,0.0,37.0,0.0
0.388,0.21,238.82,1.8,0.0,1.0,1.0
1.052,0.162,240.05,4.4,0.0,0.0,0.0
0.362,0.224,240.33,1.8,0.0,1.0,1.0
0.772,0.076,239.46,3.4,1.0,2.0,0.0
0.198,0.056,231.35,0.8,0.0,0.0,0.0
1.392,0.052,238.74,5.8,0.0,0.0,17.0
0.28,0.048,241.24,1.2,0.0,0.0,0.0
2.672,0.434,234.09,11.4,0.0,1.0,17.0
1.376,0.208,240.0,5.8,0.0,0.0,18.0
2.42,0.29,240.81,10.4,0.0,0.0,19.0
1.418,0.23,240.93,5.8,0.0,1.0,18.0
0.252,0.212,239.45,1.4,0.0,0.0,0.0
3.626,0.364,236.88,15.4,0.0,31.0,18.0
1.548,0.118,231.52,6.6,0.0,0.0,0.0
1.444,0.08,236.86,6.2,0.0,1.0,18.0
0.222,0.124,237.86,1.0,0.0,0.0,0.0
1.504,0.338,242.56,6.2,0.0,1.0,19.0
2.84,0.0,241.11,11.8,0.0,0.0,18.0
2.06,0.256,246.49,8.4,0.0,1.0,19.0
0.712,0.24,242.4,3.0,0.0,2.0,0.0
0.108,0.0,239.66,0.4,0.0,0.0,0.0
1.346,0.0,245.1,5.4,0.0,0.0,19.0
0.23,0.05,244.76,1.0,0.0,0.0,0.0
1.31,0.0,241.57,5.4,0.0,0.0,18.0
0.228,0.05,245.05,1.0,0.0,0.0,0.0
0.386,0.116,244.37,1.6,0.0,0.0,0.0
1.63,0.082,238.16,6.8,0.0,2.0,18.0
0.332,0.2,246.2,1.6,0.0,0.0,0.0
2.718,0.184,238.55,12.0,0.0,0.0,19.0
0.282,0.074,240.2,1.4,0.0,1.0,1.0
1.232,0.0,241.52,5.0,0.0,0.0,19.0
0.418,0.116,238.28,1.8,0.0,0.0,0.0
2.204,0.068,239.42,9.2,1.0,0.0,18.0
1.252,0.086,240.15,5.2,0.0,0.0,17.0
0.4,0.108,242.72,1.6,0.0,0.0,0.0
0.236,0.126,238.96,1.0,0.0,0.0,1.0
0.36,0.282,241.73,1.8,0.0,1.0,1.0
0.334,0.188,240.95,1.6,0.0,2.0,1.0
0.61,0.192,232.74,2.8,0.0,1.0,0.0
2.72,0.334,236.69,12.2,0.0,27.0,0.0
0.342,0.14,242.93,1.4,0.0,2.0,1.0
0.332,0.238,240.47,1.6,0.0,1.0,1.0
2.908,0.0,238.97,12.0,0.0,0.0,18.0
1.31,0.082,240.11,5.4,0.0,0.0,18.0
1.406,0.084,242.85,5.8,0.0,0.0,18.0
0.222,0.0,242.56,1.0,0.0,0.0,1.0
0.226,0.082,237.06,1.0,0.0,0.0,0.0
0.732,0.182,241.1,3.2,0.0,0.0,1.0
0.216,0.0,239.99,0.8,0.0,0.0,0.0
0.66,0.108,242.45,3.4,1.0,0.0,0.0
0.266,0.0,248.28,1.0,0.0,0.0,0.0
0.262,0.104,246.18,1.2,0.0,0.0,0.0
2.366,0.208,237.86,10.0,0.0,1.0,0.0
0.282,0.202,236.13,1.4,0.0,0.0,0.0
0.672,0.054,235.44,2.8,0.0,0.0,0.0
0.282,0.208,240.48,1.4,0.0,0.0,0.0
1.188,0.052,241.43,4.8,0.0,0.0,0.0
0.306,0.108,242.26,1.2,0.0,0.0,0.0
0.408,0.33,239.07,2.2,0.0,1.0,0.0
0.394,0.276,241.32,2.0,0.0,2.0,0.0
0.492,0.092,239.79,2.0,0.0,0.0,0.0
1.43,0.2,238.7,6.0,0.0,0.0,18.0
1.786,0.068,234.5,7.6,0.0,0.0,17.0
1.588,0.054,245.95,6.4,0.0,0.0,0.0
0.396,0.242,250.4,1.8,0.0,0.0,0.0
2.696,0.0,242.66,11.0,0.0,0.0,0.0
0.36,0.15,244.54,1.6,0.0,1.0,0.0
0.268,0.08,242.44,1.2,0.0,1.0,0.0
3.626,0.208,238.25,15.2,0.0,0.0,18.0
1.58,0.226,239.36,6.6,0.0,1.0,1.0
0.3,0.0,238.77,1.2,0.0,0.0,1.0
2.606,0.154,239.7,11.8,0.0,24.0,1.0
0.286,0.0,246.33,1.2,0.0,0.0,1.0
1.308,0.124,240.69,5.4,0.0,0.0,18.0
1.696,0.078,238.13,7.0,0.0,2.0,17.0
1.6,0.152,244.2,6.6,0.0,0.0,19.0
0.226,0.0,242.99,0.8,0.0,0.0,1.0
1.348,0.18,241.55,5.6,0.0,1.0,18.0
3.536,0.606,235.55,15.2,0.0,0.0,17.0
0.158,0.0,239.08,0.6,0.0,0.0,0.0
0.352,0.22,249.38,1.6,0.0,0.0,0.0
0.308,0.078,244.61,1.2,0.0,2.0,0.0
1.562,0.094,244.23,6.4,0.0,1.0,19.0
1.92,0.07,237.65,8.2,1.0,0.0,17.0
1.402,0.096,242.24,5.8,0.0,0.0,18.0
3.032,0.116,241.73,12.4,0.0,0.0,19.0
0.628,0.126,240.41,2.6,0.0,0.0,1.0
0.156,0.0,242.02,0.6,0.0,0.0,0.0
0.234,0.0,244.44,1.0,0.0,0.0,0.0
0.252,0.096,243.13,1.0,0.0,0.0,1.0
0.384,0.108,242.66,1.6,0.0,0.0,1.0
0.264,0.134,240.84,1.2,0.0,0.0,0.0
0.362,0.172,238.86,1.6,0.0,1.0,1.0
0.35,0.084,244.48,1.6,0.0,0.0,1.0
0.4,0.184,239.69,2.2,0.0,2.0,2.0
3.138,0.068,240.56,13.0,0.0,0.0,18.0
2.22,0.432,237.28,9.4,0.0,0.0,29.0
0.268,0.0,245.8,1.0,0.0,0.0,1.0
1.552,0.0,236.54,6.4,0.0,1.0,17.0
0.234,0.136,242.3,1.0,0.0,0.0,1.0
2.484,0.0,245.43,10.0,1.0,0.0,19.0
4.158,0.128,238.31,17.4,38.0,0.0,18.0
0.388,0.092,243.67,1.6,0.0,0.0,0.0
0.412,0.234,243.39,1.8,0.0,1.0,1.0
3.876,0.0,237.1,16.2,0.0,0.0,17.0
1.89,0.208,241.62,7.8,1.0,0.0,1.0
1.846,0.094,241.17,7.6,0.0,0.0,0.0
0.326,0.088,243.96,1.4,0.0,0.0,1.0
0.166,0.0,242.47,1.0,0.0,0.0,0.0
0.228,0.084,240.69,1.0,0.0,0.0,1.0
0.39,0.158,242.32,1.8,0.0,0.0,0.0
0.7,0.256,239.62,3.0,0.0,1.0,1.0
0.218,0.0,240.1,1.0,0.0,0.0,0.0
0.402,0.186,241.5,1.8,0.0,1.0,0.0
1.858,0.112,238.42,7.8,0.0,1.0,18.0
0.226,0.0,244.89,1.0,0.0,0.0,0.0
1.45,0.272,237.66,6.2,0.0,0.0,0.0
0.272,0.0,245.37,1.0,0.0,0.0,1.0
2.806,0.176,239.79,11.8,0.0,22.0,18.0
1.46,0.194,241.0,6.0,0.0,0.0,19.0
0.352,0.062,242.36,1.4,0.0,1.0,0.0
